day,tag,0,0_v1,0
2018-01-21,22,2018-01-21 08:10:09,05:28:00,2018-01-21 05:39:17
2018-01-21,24,2018-01-21 05:36:35,05:14:35,2018-01-21 05:36:40
2018-01-21,25,undefined,08:27:45,undefined
2018-01-21,26,2018-01-21 08:27:53,08:25:05,2018-01-21 08:26:02
2018-01-21,27,2018-01-21 05:06:25,02:24:35,2018-01-21 00:49:29
2018-01-21,28,undefined,05:59:05,2018-01-21 06:00:11
2018-01-21,29,2018-01-21 06:41:02,06:31:15,2018-01-21 06:38:14
2018-01-21,31,undefined,07:12:15,undefined
2018-01-21,32,2018-01-21 05:37:05,05:01:05,2018-01-21 01:09:05
2018-01-21,33,2018-01-21 05:36:01,04:52:55,2018-01-21 05:39:46
2018-01-21,34,2018-01-21 06:37:36,06:33:05,2018-01-21 06:39:22
2018-01-22,14,2018-01-22 08:37:33,06:44:50,2018-01-22 08:41:12
2018-01-22,17,2018-01-22 00:13:07,05:44:55,2018-01-22 05:44:53
2018-01-22,20,2018-01-22 05:43:26,02:52:10,2018-01-22 01:27:20
2018-01-22,21,2018-01-22 01:00:41,05:03:40,2018-01-22 05:21:46
2018-01-22,22,2018-01-22 06:47:02,06:44:50,2018-01-22 07:30:11
2018-01-22,23,undefined,05:20:25,undefined
2018-01-22,24,2018-01-22 00:36:33,05:46:20,2018-01-22 05:45:58
2018-01-22,25,undefined,07:52:00,undefined
2018-01-22,27,2018-01-22 02:29:44,02:30:05,2018-01-22 02:34:14
2018-01-22,28,2018-01-22 05:58:16,05:46:20,2018-01-22 06:06:50
2018-01-22,29,2018-01-22 07:09:18,03:07:40,2018-01-22 07:29:18
2018-01-22,31,undefined,06:08:10,undefined
2018-01-22,32,2018-01-22 05:44:52,05:45:50,2018-01-22 05:45:46
2018-01-22,33,2018-01-22 04:28:28,05:45:55,2018-01-22 05:42:10
2018-01-22,34,2018-01-22 07:09:11,02:37:05,2018-01-22 05:23:29
2018-01-23,14,2018-01-23 06:59:12,02:36:10,2018-01-23 05:45:25
2018-01-23,15,2018-01-23 06:05:09,05:52:55,2018-01-23 05:55:15
2018-01-23,17,2018-01-23 05:51:30,03:05:30,2018-01-23 02:50:40
2018-01-23,20,2018-01-23 05:38:44,05:38:20,2018-01-23 08:52:43
2018-01-23,21,2018-01-23 02:02:43,03:05:00,2018-01-23 02:42:28
2018-01-23,22,2018-01-23 06:08:46,05:56:35,2018-01-23 06:08:03
2018-01-23,23,2018-01-23 07:32:32,07:28:35,2018-01-23 08:43:12
2018-01-23,24,2018-01-23 01:46:23,01:46:25,2018-01-23 00:28:00
2018-01-23,27,2018-01-23 05:49:21,02:57:50,2018-01-23 06:15:50
2018-01-23,28,2018-01-23 02:18:31,05:13:45,2018-01-23 05:46:26
2018-01-23,29,2018-01-23 07:13:15,08:01:40,2018-01-23 08:44:29
2018-01-23,30,2018-01-23 06:31:27,06:19:50,2018-01-23 06:31:27
2018-01-23,31,2018-01-23 06:30:01,06:16:50,2018-01-23 06:30:01
2018-01-23,32,2018-01-23 05:56:18,05:24:55,2018-01-23 08:08:29
2018-01-23,33,2018-01-23 01:11:35,05:43:35,2018-01-23 08:08:48
2018-01-23,34,2018-01-23 08:08:17,08:04:55,2018-01-23 08:44:46
